date,district,block,rainfall_mm,river_level_m,flood_incidents,population_exposed,road_access_score,dry_ration_kits_needed
2022-01-01,Puri,Astaranga,4.2,2.66,0,74000,0.61,50
2022-01-02,Puri,Astaranga,6.3,2.87,0,74000,0.61,50
2022-01-03,Puri,Astaranga,9.2,2.72,0,74000,0.61,50
2022-01-04,Puri,Astaranga,0.5,2.49,0,74000,0.61,50
2022-01-05,Puri,Astaranga,2.7,2.49,0,74000,0.61,50
2022-01-06,Puri,Astaranga,5.6,2.61,0,74000,0.61,50
2022-01-07,Puri,Astaranga,2.1,2.73,0,74000,0.61,50
2022-01-08,Puri,Astaranga,3.6,2.45,0,74000,0.61,50
2022-01-09,Puri,Astaranga,0.1,2.62,0,74000,0.61,50
2022-01-10,Puri,Astaranga,0.3,2.56,0,74000,0.61,50
2022-01-11,Puri,Astaranga,0.8,2.74,0,74000,0.61,50
2022-01-12,Puri,Astaranga,3.6,2.86,0,74000,0.61,50
2022-01-13,Puri,Astaranga,12.8,2.9,0,74000,0.61,50
2022-01-14,Puri,Astaranga,2.2,2.43,0,74000,0.61,50
2022-01-15,Puri,Astaranga,3.2,2.51,0,74000,0.61,50
2022-01-16,Puri,Astaranga,1.4,2.57,0,74000,0.61,50
2022-01-17,Puri,Astaranga,0.9,2.49,0,74000,0.61,50
2022-01-18,Puri,Astaranga,4.3,2.69,0,74000,0.61,50
2022-01-19,Puri,Astaranga,7.2,2.56,0,74000,0.61,50
2022-01-20,Puri,Astaranga,5.4,2.48,0,74000,0.61,50
2022-01-21,Puri,Astaranga,4.0,2.7,0,74000,0.61,50
2022-01-22,Puri,Astaranga,7.1,2.87,0,74000,0.61,50
2022-01-23,Puri,Astaranga,2.3,2.49,0,74000,0.61,50
2022-01-24,Puri,Astaranga,1.0,2.7,0,74000,0.61,50
2022-01-25,Puri,Astaranga,0.3,2.46,0,74000,0.61,50
2022-01-26,Puri,Astaranga,0.9,2.76,0,74000,0.61,50
2022-01-27,Puri,Astaranga,2.9,2.8,0,74000,0.61,50
2022-01-28,Puri,Astaranga,0.4,2.56,0,74000,0.61,51
2022-01-29,Puri,Astaranga,0.0,2.67,0,74000,0.61,50
2022-01-30,Puri,Astaranga,2.5,2.59,0,74000,0.61,50
2022-01-31,Puri,Astaranga,12.9,2.78,0,74000,0.61,53
2022-02-01,Puri,Astaranga,7.9,2.77,0,74000,0.61,50
2022-02-02,Puri,Astaranga,0.2,2.4,0,74000,0.61,50
2022-02-03,Puri,Astaranga,6.9,2.96,0,74000,0.61,50
2022-02-04,Puri,Astaranga,2.6,2.58,0,74000,0.61,50
